Startup,One liner,Website,Country,LinkedIn,Founded,Funding $m,Funding stage,Climate category,Climate subcategories,Stage,Investors,Team 1 Name,Team 1 LinkedIn,Team 1 Title,Team 2 Name,Team 2 LinkedIn,Team 2 Title,Team 3 Name,Team 3 LinkedIn,Team 3 Title,Team 4 Name,Team 4 LinkedIn,Team 4 Title,Team 5 Name,Team 5 LinkedIn,Team 5 Title,Team 6 Name,Team 6 LinkedIn,Team 6 Title
Devic Earth,"AI-driven pulsed radio wave technology to reduce air pollution at workplaces, improving air quality over large areas.",https://www.devic-earth.com,India,https://www.linkedin.com/company/devic-earth/,2018,1.52,Pre-Series A,Climate management,Emissions reporting,Scale-up,Blue Avsha Capital,Srikanth Sola,https://www.linkedin.com/in/srikanth-sola/?originalSubdomain=in,CEO,Shaguna Sinha,https://www.linkedin.com/in/shaguna-sinha-3a1b51147/?originalSubdomain=in,Executive Director,,,,,,,,,,,,
Altein,Mung bean protein as egg replacer with superior functionality.,,India,https://www.linkedin.com/company/altein-ingredients/,2020,,,Food & land use,Alternative foods,Prototype,"Good Seed Ventures, ProVeg Incubator",Tarak Badkas,https://www.linkedin.com/in/tarak-badkas-33b328113/?originalSubdomain=in,CEO/Co-founder,Dr. Shweta Deotale,,,,,,,,,,,,,,
Godi Energy,"Sustainable energy storage solutions, focusing on innovative battery technologies.",https://www.godienergy.com,India,https://www.linkedin.com/company/godienergy/,2020,2.7,Series B,Energy,Energy storage,R&D,"Blue Avsha Capital, Graphite India",Mahesh Godi,https://www.linkedin.com/in/whoamii/?originalSubdomain=in,Founder and CEO,Youngjin Choi,https://www.linkedin.com/in/youngjin-choi-b284881b3/,Chief Commercial Officer,,,,,,,,,,,,
Brown Foods - Unreal milk,Using bovine mammary cells to make real milk in lab.,https://unrealmilk.com,India,https://www.linkedin.com/company/brownfoods/about/,2021,2.4,Seed,Food & land use,Alternative foods,,"Y Combinator, Collaborative Fund, Unpopular Ventures, SRI Capital, Amino Capital, AgFunder",Bhavna Tandon,linkedin.com/in/bhavna-tandon,Co-founder and CSO,Sohail Gupta,https://www.linkedin.com/in/sohail-gupta-b4226412/,CEO & Co-Founder,,,,,,,,,,,,
Intello Labs,"AI-based tools to improve the quality assessment and sorting processes of fresh produce, reducing waste and enhancing efficiency.",https://www.intellolabs.com,India,https://www.linkedin.com/company/intellolabs/,2016,16.6,Series B,Food & land use,Food waste,Scale-up,"GROW , Omnivore, Trifecta Capital, Saama Capital",Nishant Mishra,https://www.linkedin.com/in/nishantmishra09/,Co-founder and CEO,Milan Sharma,https://www.linkedin.com/in/milansharmaintellolabs/,Co-founder and CEO,,,,,,,,,,,,
ProMyce,Company utilizing the power of mushrooms to create sustainable and nutritious food products.,https://www.linkedin.com,India,https://www.linkedin.com/in/promyce-the-power-of-mushroom-089926232/?originalSubdomain=in,2023,,Pre-Seed,Food & land use,Alternative foods,,,,,,,,,,,,,,,,,,,,
MFP Foods,Offering a range of plant-based protein products for Indian consumers.,https://www.mfpindia.in,India,https://linkedin.com/company/modern-food-products-india/,2021,,Pre-Seed,Food & land use,Alternative foods,Pilot,,Nagarajan Sivaramakrishnan,,Co-founder,Raunak P.,,Co-founder,,,,,,,,,,,,
Grinntech,A company specializing in lithium-ion batteries and battery management systems.,https://www.grinntech.com,India,https://www.linkedin.com/company/grinntech/,2013,2,Seed,Transportation,Batteries,Pilot,"Rural Technology and Business Incubator (RTBI), UCAL(Automotive)",Puneet Jain,https://www.linkedin.com/in/puneetjain86/,Co-founder & Director,,,,,,,,,,,,,,,
Sudo Foods,Offering plant-based meat products for conscious consumers.,https://sudofoods.com,India,https://www.linkedin.com/company/sudofoods/?originalSubdomain=in,2021,0.3,Seed,Food & land use,Alternative foods,Scale-up,"Java Capital , Soonicorn Ventures, LetsVenture",Abhinav Chawla,,,Sadhika Agarwal,https://www.linkedin.com/in/sadhika-agarwal-b2721784/,Co-founder,,,,,,,,,,,,
KisanKonnect,Connects farmers directly with consumers through a farm-to-fork model.,https://www.kisankonnect.in,India,https://www.linkedin.com/company/kisankonnect/?originalSubdomain=in,2020,3.75,Pre-Series A,Food & land use,Other,Launch,"Green Frontier Capital, Dhanuka Agritech Limited",Nidhi Nirmal,https://www.linkedin.com/in/nidhi-nirmal-a55680248/,Co-founder and Business Head,,,,,,,,,,,,,,,
UrbanKisaan,Develops hydroponic farms that use minimal water and land to grow nutritious plants sustainably.,https://www.urbankisaan.com,India,https://www.linkedin.com/company/urbankisaan/,2017,7,Seed,Food & land use,Indoor farming,Scale-up,"2xN, BASF Venture Capital",Vihari Kanukollu,https://www.linkedin.com/in/kvihari/,Co-founder and CEO,Sampath Vinay,https://www.linkedin.com/in/sampath-vinay-85547a193/,Co-founder and CMO,Sairam Reddy Palicherla,https://www.linkedin.com/in/dr-sairam-reddy-palicherla-3788647/,Co-founder and CEO,,,,,,,,,
Arya.ag,"Post-harvest agri-tech company providing end-to-end solutions for farmers, including storage, financing, and market linkage.",https://www.arya.ag,India,https://www.linkedin.com/company/aryadotag/?originalSubdomain=in,2013,110,Series C and Beyond,Food & land use,Other,Scale-up,"Quona Capital, Omnivore, Asia Impact",Prasanna Rao,https://www.linkedin.com/in/prasanna-rao-a402ab44/,Co-founder and CEO,,,,,,,,,,,,,,,
EyeROV,"Unmanned robotic & AI solutions for energy, oceand and defense sectors.",https://www.eyerov.com,India,https://www.linkedin.com/company/eyerov/?originalSubdomain=in,2016,1.2,Pre-Series A,"Industry, Climate management",Earth observation,Scale-up,"Unicorn India Ventures, Department of Science and Technology India, Bharat Petroleum Corporation",Johns Mathai,https://www.linkedin.com/in/johnstmathai/,Co-Founder and CEO,Kannappa Palaniappan,https://www.linkedin.com/in/kannappapalaniappanp/,Co-Founder and CTO,,,,,,,,,,,,
Ultraviolette,A company that designs and manufactures high-performance electric motorcycles.,https://www.ultraviolette.com,India,https://www.linkedin.com/company/ultraviolette-automotive/,2015,53.8,Series B,Transportation,"Autos, Batteries",Launch,"Zoho Corporation, Qualcomm Ventures",Narayan Subramaniam,https://www.linkedin.com/in/narayan-s/?miniprofileurn=urn:li:fs_miniprofile:acoaaahvymcbj5ov7ifmw3a-9g9awspojsi042a,CEO,,,,,,,,,,,,,,,
Vegan Heat,Vegan meal delivery service and retail app platform.,,India,https://www.linkedin.com/search/results/all/?keywords=Vegan+Heat&lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base%3BRz4%2FimfqSRqoM2CIvUA1sA%3D%3D,2016,,,Food & land use,Alternative foods,Scale-up,,Vaibhav Krishnaswamy,https://www.linkedin.com/in/vaibhav-krishnaswamy-6bbab3138/?originalSubdomain=in,Founder,,,,,,,,,,,,,,,
Vegh,Produces electric scooters with notable range and speed specifications.,https://www.thevegh.com,India,https://www.linkedin.com/company/veghautomobile/,2021,5,Seed,Transportation,"Micromobility, EV charging / fleet management, Batteries",Launch,,Sumeet Gupta,https://www.linkedin.com/in/sumeet-gupta-513a24197/,Co-Founder and MD,Pragya Goyal,https://www.linkedin.com/in/pragya-goyal-638147154/,Co-Founder and CEO,,,,,,,,,,,,
A2P Energy Solution,Energy products from paddy straw thereby resolving the open field paddy straw burning problem.,https://www.a2penergy.com,India,https://www.linkedin.com/company/a2penergy/,2018,,Seed,"Energy, Food & land use",Waste biomass,R&D,I-Venture @ ISB,Sukhmeet Singh,https://www.linkedin.com/in/sukhmeet-singh/,Founder and CEO,,,,,,,,,,,,,,,
Cleen.pet,Healthy & sustainable pet food using alternative protein.,https://sites.google.com,India,https://www.linkedin.com/company/cleenpet/,2023,,Pre-Seed,Food & land use,Alternative foods,,,Ishu Bindal,https://www.linkedin.com/in/ishubindal/,Co-founder & CEO,,,,,,,,,,,,,,,
River,High-quality mobility solutions designed to better the livelihoods of people around the world.,https://www.rideriver.com,India,https://www.linkedin.com/company/rideriver/,2021,68,Series B,Transportation,EV charging / fleet management,Pilot,"Marubeni Ventures, Mitsui & Co., Al-Futtaim Group, Yamaha Motor, Toyota Ventures",Aravind Mani,https://www.linkedin.com/in/aravindmani/,CEO and Co-Founder,Vipin George,https://www.linkedin.com/in/vipingeorge/,Co-Founder,,,,,,,,,,,,
Anuvi Food Sciences,Biomass fermentation to harvest fungi mycelium.,,India,https://www.linkedin.com/company/anuvi-food-sciences/,2021,,Pre-Seed,Food & land use,Alternative foods,R&D,Anuvi Chemicals,Anupriya Jahagirdar,,,,,,,,,,,,,,,,,
PolyCycl,"Developer of advanced recycling solutions for converting hard-to-recycle waste plastics into virgin, low-carbon plastics.",https://www.polycycl.com,India,https://www.linkedin.com/company/polycycl/about/,2016,0.8,Seed,Industry,"Waste & recycling, Chemicals & plastics",Pilot,"Plug and Play, Whitefield Ventures",Srinivas Mazumdar,https://www.linkedin.com/in/srinivas-mazumdar-b833364/,CTO,Amit Tandon,https://www.linkedin.com/in/amittandon2/,Founder and CEO,,,,,,,,,,,,
MinionLabs,Provides AI-powered energy monitoring solutions to optimize energy consumption in buildings.,http://www.minionlabs.tech,India,https://www.linkedin.com/company/minionlabss/?originalSubdomain=in,2015,3.71,Seed,Energy,Energy efficiency,Pilot,"NASSCOM DeepTech Club , Panasonic Ignition",Gokul Shrinivas,https://www.linkedin.com/in/gokulshrinivas/?originalsubdomain=in,Founder,,,,,,,,,,,,,,,
Wakao Foods,Offering delicious plant-based meat alternatives made from jackfruit.,https://wakaofoods.com,India,https://www.linkedin.com/company/wakao-foods/,2020,0.1,Pre-Seed,Food & land use,Alternative foods,,,Sairaj Dhond,https://www.linkedin.com/in/sairajdhondfounderwakaofoods/,Founder and CEO,,,,,,,,,,,,,,,
BillionElectric,E-mobility platform (eMAP) for eLCVs/eMCVs for the enterprise commerce in global markets.,http://www.billionmobility.com,India,https://www.linkedin.com/company/billionelectric/?originalSubdomain=in,2021,10,Seed,Transportation,EV charging / fleet management,Launch,"The Capital One Lab, Urmin Group, Transition VC",Prakash Prabhakaran,https://www.linkedin.com/in/prakash-prabhakaran-08b6087/,Vice President,,,,,,,,,,,,,,,
Vegan Bites - nomou,Creates plant-based meat alternatives to promote sustainable eating.,https://nomou.in,India,https://www.linkedin.com/company/nomou/about/,2020,,,Food & land use,Alternative foods,,,Samir Prasad,https://www.linkedin.com/in/samir-pasad-910a993/,Co-Founder,Hemali Gala,https://www.linkedin.com/in/hemali-gala-21446b188/,Chief Executive Officer,,,,,,,,,,,,
Freyr Energy,Provides solar energy solutions and services for residential and commercial applications.,https://freyrenergy.com,India,https://www.linkedin.com/company/freyr-energy-services/about/,2014,9.95,Series A,Energy,Solar,Launch,"Lotus Capital, Electrifi Ventures",Saurabh Marda,https://www.linkedin.com/in/saurabhmarda/,Co-Founder,,,,,,,,,,,,,,,
Fibmold,Molded fiber packaging made from 100% compostable agricultural waste and other sourced biomass.,https://fibmold.com,India,https://www.linkedin.com/company/fibmold/,2022,10,Series A,Industry,Packaging,Pilot,"Omnivore, Accel",Param Gandhi,https://www.linkedin.com/in/paramgandhi/,Co-founder,Vaibhav Garg,https://www.linkedin.com/in/vaibhav-garg-35399821/,Co-founder and Director,,,,,,,,,,,,
Shaka Harry,Blending taste with health & sustainability for the Indian palate with plant-based alternatives.,https://www.shakaharry.com,India,https://in.linkedin.com/company/shaka-harry,2020,5,Seed,Food & land use,Alternative foods,Scale-up,"Better Bite Ventures, Blue Horizon,  Panthera Peak Capital",Ruth Renita,,Co-founder,Anand Nagarajan,https://www.linkedin.com/in/anand-nagarajan-808385/,Co-founder and CEO,Anoop Haridasan,https://www.linkedin.com/in/anoop-haridasan-66466a4/?originalSubdomain=in,Co-founder and COO,,,,,,,,,
Oatish Oat Milk (Dancing Cow),Oat milk company selling under Oatish brand.,https://dancingcow.in,India,https://www.linkedin.com/company/dancing-cow/,2021,,Pre-Seed,Food & land use,Alternative foods,,,Anmol Goel.,,Founder,,,,,,,,,,,,,,,
Loop Charging Module (LCM),Tech for recharging cars on the go using wind energy.,https://lcmloopchargingmod.wixsite.com,India,https://www.linkedin.com/company/loop-charging-module-lcm/,2023,,Pre-Seed,Transportation,EV charging / fleet management,Prototype,,Jayshri Bej,https://www.linkedin.com/in/jayshri-bej/,Co-Founder,Rohith Shenoy Nandavara,https://www.linkedin.com/in/n-rohith-shenoy/,Co Founder,Wesly Jambarapu,https://www.linkedin.com/in/wesly-j/,Founder,,,,,,,,,
Cygni,A provider of solar DC solutions and energy storage systems.,https://www.cygni.com,India,https://www.linkedin.com/company/cygni-energy-private-limited/,2014,12.5,Series B,Energy,"DERs - Distributed energy resources, Energy storage",Scale-up,"Caspian Impact Investments, MERIDIAN GLOBAL VENTURES , Atyant Capital",Venkat Rajaraman,https://www.linkedin.com/in/venkatrajaraman/,CEO,,,,,,,,,,,,,,,
Agrim,"B2B marketplace for agri-inputs, connecting rural retailers directly with manufacturers and providing solutions.",https://agrim.app,India,https://www.linkedin.com/company/agrimindia/,2020,12,Series A,Food & land use,Other,Scale-up,"Omnivore, Kalaari Capital",Avi Jain,https://www.linkedin.com/in/avi-jain-5aa32515/,Co-founder and CEO,Mukul Garg,https://www.linkedin.com/in/mukulgarg/,Founder,,,,,,,,,,,,
Imposter Meat,Manufacturing and selling plant-based Burger patties and meatballs.,https://impostermeat.com,India,https://www.linkedin.com/company/imposter-meat/,2021,,Pre-Seed,Food & land use,Alternative foods,,,,,,,,,,,,,,,,,,,,
BillionCarbon,"Converts waste into valuable resources, promoting a circular economy.",https://www.billioncarbon.com,India,https://www.linkedin.com/company/billioncarbon/,2022,,Pre-Seed,Food & land use,"Waste & recycling, Food waste, Fertilizer / pesticides",Prototype,BITS BioCyTiH Foundation,Nikhil Vijayvergiya,https://www.linkedin.com/in/nikhilvijayvergiya/,Co-founder and COO,Ankita Vijayvergiya,https://www.linkedin.com/in/ankitavijayvergiya/,Co-founder and CEO,,,,,,,,,,,,
Navalt,"A company specialized in designing and manufacturing electric boats, promoting green transportation on water.",https://navaltboats.com,India,https://www.linkedin.com/company/navalt/?originalSubdomain=in,2013,0.185,Angel,Transportation,Autos,Scale-up,"Villgro, Shell Ventures",Sandith Thandasherry,https://www.linkedin.com/in/sandith/,Founder and CEO,,,,,,,,,,,,,,,
OhVeg,Produces plant-based foods with a focus on traditional Indian flavors.,http://www.ohveg.in,India,https://www.linkedin.com/company/ohveg/,2019,,Pre-Seed,Food & land use,Alternative foods,Pilot,,Mehul Mittal,https://www.linkedin.com/in/mehul-mittal/?originalSubdomain=in,CEO & Founder,,,,,,,,,,,,,,,
Fresh and Safe,"To provide safe traceble produce for all consumers we serve, and also their dream of healthy lifestyle.",http://www.freshnsafe.in,India,https://www.linkedin.com/company/freshnsafe/,2021,2,Seed,Food & land use,"Crop yield, Earth observation, Fertilizer / pesticides",Pilot,,Sreeni Reddy M,https://www.linkedin.com/in/sreenifands/,Co-Founder,Surendra N Reddy C,https://www.linkedin.com/in/surendra-n-reddy-c-0b22494a/?trk=org-employees&original_referer=https%3A%2F%2Fwww%2Egoogle%2Ecom%2F&originalSubdomain=in,Founder,,,,,,,,,,,,
AltMat,Transforming agriculture waste into high performing natural fibers and yarns.,https://altmat.in,India,https://www.linkedin.com/company/altmat/,2019,,Seed,"Industry, Food & land use","Textiles, Food waste",R&D,"Zone Startups India, Fashion For Good, Gujarat University Startup and Entrepreneurship Council (GUSEC)",Shikha Shah,https://www.linkedin.com/in/shikha-shah/,Founder and CEO,,,,,,,,,,,,,,,
Carbon Masters,Provides solutions for carbon management through biogas and waste management.,http://carbonmasters.co.uk,India,https://www.linkedin.com/company/carbon-masters/about/,2009,2.07,Series A,"Energy, Industry","Carbon removal, Waste & recycling",Scale-up,"Villgro, Schneider Electric, Graycell Ventures",Kevin Houston,https://www.linkedin.com/in/kjhouston/,Co-Founder and CEO,Somnath Narayan,https://www.linkedin.com/in/somnarayan/,Co-Founder and MD,,,,,,,,,,,,
NatureDots,De-risking 15 million fish-farmers and 10 million hectares of water-bodies in next 10 years by creating ‘Digital Twins of water-ecosystems’.,https://www.naturedots.com,India,https://www.linkedin.com/company/naturedots/,2019,0.335,Pre-Seed,Food & land use,Aquaculture,R&D,"MassChallenge Switzerland, HCL Technologies, Climate-KIC Acceleration Programme",Snehal Verma,https://www.linkedin.com/in/snehal-verma/,Co-founder and Director,,,,,,,,,,,,,,,
Angirus,Produces sustainable construction materials made from recycled waste.,https://www.angirusind.com,India,https://www.linkedin.com/company/wricks/,2020,0.0465,Seed,Built environment,Construction,R&D,"Brigade REAP, IIT Mandi Catalyst, Startup Nexus",Lokesh Puri Goswami,https://www.linkedin.com/in/lokesh-puri-goswami-aipl/,Co-Founder and CTO,Kunjpreet Arora,https://www.linkedin.com/in/kunjpreet-arora-1a9599126/,Co-Founder and CEO,,,,,,,,,,,,
Protainable Smart Foods,Fermentation derived mycoprotein based meat analogues.,,India,,2022,,,Food & land use,Alternative foods,,,SATYA PRAKASH BATRA,,,,,,,,,,,,,,,,,
BioPrime AgriSolutions,Building climate resilience in crops by using targeted physiology modulating biomolecules.,http://www.bioprimeagri.com,India,https://www.linkedin.com/company/bioprimeagri/,2016,8,Series A,Food & land use,Fertilizer / pesticides,Launch,"Omnivore, Inflexor Ventures, Edaphon",Shekhar Bhosle,https://www.linkedin.com/in/shekhar-bhosle/,Director,Renuka Diwan,https://www.linkedin.com/in/renukadiwan/?originalSubdomain=in,CEO,,,,,,,,,,,,
